Datetime,Tweet Id,Text,Username,total_length_characters,total_count_words,Sentiment,Length,Word_counts
2022-03-19 23:59:59+00:00,1505333292740096000,ukrain ukrainerussianwar russia ukrainewar russianukrainianwar ukrainewar kyiv des respons ukrainien déclarent que les forc russ se regroup et se préparent pour une nouvell offens sur kiev ,FreeFrance,189,26,0,189,26
2022-03-19 23:59:29+00:00,1505333165514129408,madmen timeforrussianmotherstotakeov russianukrainianwar foxnew ,boomer_sa,64,4,0,64,4
2022-03-19 23:58:30+00:00,1505332921892327424,video show part battl chechen forc fight ukrainian forc mariupolukrain ukrainewar  ukrainerussiawarrussian kiev mariupol kharkiv russianukrainianwar russia ,jouhinanewssy,156,17,0,156,17
2022-03-19 23:54:23+00:00,1505331882392788992,ukrain ουκρανία ukrainewar russianukrainianwar russia ukrainerussianwar ukraineunderattack usa ,Who0066,95,8,0,95,8
2022-03-19 23:53:40+00:00,1505331702259986437,behind scene look ukrain war movi russianukrainianwar ukraine️ war russiaukrainecrisi russianinvas ,_iGetzItKraken_,99,11,-1,99,11
2022-03-19 23:53:17+00:00,1505331608609595395,mariupol russian foreign journalist help remov serious ill elder woman destroy houserussiaukraineconflict russianukrainianwar ukrainerussianwar russia kiev ukrain kyiv mauripol  kharkiv  kharkov  nikolaev ,EliasMezaCota,205,22,-1,205,22
2022-03-19 23:50:43+00:00,1505330962900881408,one best idea russianukrainianwar ive heard ,itsmrgamer,44,6,1,44,6
2022-03-19 23:49:34+00:00,1505330671887130628,russian internet joke “we enter day  special militari oper take kyiv two days” russianukrainianwar putinswar,SteveRamirez,108,15,1,108,15
2022-03-19 23:48:47+00:00,1505330476206235655,flag 🇷🇺🦅donetsk peopl republ rais mangush volodarski russiaukraineconflict russianukrainianwar ukrainerussianwar russia kiev ukrain kyiv mauripol  kharkiv  kharkov  nikolaev ,EliasMezaCota,174,18,0,174,18
2022-03-19 23:48:42+00:00,1505330453364211714,russianukrainianwar russiansoldi sasha dolkin reconnaiss   vdv regiment ,RF200_NOW,72,7,0,72,7
2022-03-19 23:47:07+00:00,1505330056616456195,one countri order meal ampthen tri forc rest world split bill lol that  accur descript what go on👌ukrain ουκρανία ukrainewar russianukrainianwar russia ukrainerussianwar ukraineunderattack usa china ,Who0066,199,26,1,199,26
2022-03-19 23:43:18+00:00,1505329094208065536,russianukrainianwar explain one cartoon ukrain ,OTR444,47,5,0,47,5
2022-03-19 23:42:50+00:00,1505328977337937923,ukrainerussianwarrussianukrainianwardeadrussiangener x ,Sky_Islander,55,2,0,55,2
